SeriesName,SeriesCode,CountryName,CountryCode,Year
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2010
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2010
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2010
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2010
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2010
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2011
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2011
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2011
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2011
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2011
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2012
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2012
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2012
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2012
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2012
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2013
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2013
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2013
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2013
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2013
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2014
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2014
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2014
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2014
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2014
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2015
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2015
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2015
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2015
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2015
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2016
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2016
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2016
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2016
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,2016
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2017
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,2017
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,2017
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,2017
